,Business,Entertainment,Food,Science,Culture,Health,Politics,International,Sport,Technology,Economy
16table,0.0,0.0,0.0,0.00028579230392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.00102953507565,0.0,0.0,0.0,0.000955269372949,0.0,0.00138100349967,0.0,0.0
17competitive,0.0,0.0,0.0,0.00028579230392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17opportunity,0.0,0.0,0.0,0.00028579230392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17s,0.0,0.00234194702269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17table,0.0,0.0,0.0,0.00028579230392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17us,0.0,0.0,0.0,0.00028579230392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00045928321516,0.0,0.0
180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00112357699033,0.0
1800s,0.0,0.0,0.0,0.00057158460784,0.0,0.0,0.0,0.0,0.0,0.0,0.0
